Product,Date,Transaction Type,Num,Customer,Memo/Description,Qty,Sales Price,Amount,Balance
   CANN Blood Orange Cardamom 6pk,08/04/2021,Invoice,1320,CANN - Essence Rainbow,"PR# 514
Metrc# 2053",92,9.00  ,828.00  ,"12,294.00  "
   CANN Blood Orange Cardamom 6pk,08/04/2021,Invoice,1327,CANN - Jardin,"PR# 514
Metrc# 2086",20,9.00  ,180.00  ,"12,474.00  "
   CANN Blood Orange Cardamom 6pk,08/04/2021,Invoice,1322,CANN - Essence Durango,"PR# 514
Metrc# 2043",68,9.00  ,612.00  ,"13,086.00  "
   CANN Blood Orange Cardamom 6pk,08/04/2021,Invoice,1323,CANN - Essence Tropicana,"PR# 514
Metrc# 2057",44,9.00  ,396.00  ,"13,482.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/04/2021,Invoice,1323,CANN - Essence Tropicana,"PR# 310
Metrc# 2060",44,7.00  ,308.00  ,"3,164.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/04/2021,Invoice,1321,CANN - Essence Henderson,"PR# 310
Metrc# 2051",60,7.00  ,420.00  ,"3,584.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/04/2021,Invoice,1322,CANN - Essence Durango,"PR# 310
Metrc# 2046",24,7.00  ,168.00  ,"3,752.00  "
   CANN Grapefruit Rosemary 6pk,08/04/2021,Invoice,1320,CANN - Essence Rainbow,"PR# 513
Metrc# 2054",8,9.00  ,72.00  ,"6,687.00  "
   CANN Grapefruit Rosemary 6pk,08/04/2021,Invoice,1322,CANN - Essence Durango,"PR# 513
Metrc# 2044",72,9.00  ,648.00  ,"7,335.00  "
   CANN Grapefruit Rosemary 6pk,08/04/2021,Invoice,1321,CANN - Essence Henderson,"PR# 513
Metrc# 2049",52,9.00  ,468.00  ,"7,803.00  "
   CANN Grapefruit Rosemary 6pk,08/04/2021,Invoice,1323,CANN - Essence Tropicana,"PR# 513
Metrc# 2058",20,9.00  ,180.00  ,"7,983.00  "
   CANN Grapefruit Rosemary 6pk,08/04/2021,Invoice,1327,CANN - Jardin,"PR# 513
Metrc# 2087",20,9.00  ,180.00  ,"8,163.00  "
   CANN Lemon Lavender 6pk,08/04/2021,Invoice,1320,CANN - Essence Rainbow,"PR# 429
Metrc# 2055",36,9.00  ,324.00  ,"11,772.00  "
   CANN Lemon Lavender 6pk,08/04/2021,Invoice,1321,CANN - Essence Henderson,"PR# 429
Metrc# 2050",28,9.00  ,252.00  ,"12,024.00  "
   CANN Lemon Lavender 6pk,08/04/2021,Invoice,1327,CANN - Jardin,"PR# 429
Metrc# 2088",20,9.00  ,180.00  ,"12,204.00  "
   CANN Lemon Lavender 6pk,08/04/2021,Invoice,1322,CANN - Essence Durango,"PR# 429
Metrc# 2045",40,9.00  ,360.00  ,"12,564.00  "
   CANN Lemon Lavender 6pk,08/04/2021,Invoice,1323,CANN - Essence Tropicana,"PR# 429
Metrc# 2059",36,9.00  ,324.00  ,"12,888.00  "
   CANN Pineapple Jalapeno 6pk,08/04/2021,Invoice,1320,CANN - Essence Rainbow,"PR# 609
Metrc# 2056",72,9.00  ,648.00  ,"2,403.00  "
   CANN Pineapple Jalapeno 6pk,08/04/2021,Invoice,1322,CANN - Essence Durango,"PR# 609
Metrc# 2047",24,9.00  ,216.00  ,"2,619.00  "
,08/04/2021,Invoice,1322,CANN - Essence Durango,,120,0.00  ,0.00  ,0.00  
,08/04/2021,Invoice,1320,CANN - Essence Rainbow,,208,0.00  ,0.00  ,0.00  
,08/04/2021,Invoice,1321,CANN - Essence Henderson,,120,0.00  ,0.00  ,0.00  
,08/04/2021,Invoice,1327,CANN - Jardin,,60,0.00  ,0.00  ,0.00  
,08/04/2021,Invoice,1327,CANN - Jardin,,1,-500.00  ,-500.00  ,"-1,783.60  "
   CANN Pineapple Jalapeno 6pk BT PROMO,08/04/2021,Invoice,1327,CANN - Jardin,"PR# 609
Metrc# 2089",4,0.01  ,0.04  ,0.08  
   CANN Pineapple Jalapeno Seasonal 4pk BT PROMO,08/04/2021,Invoice,1327,CANN - Jardin,"PR# 610
Metrc# 2090",6,0.01  ,0.06  ,0.12  
   CANN Blood Orange Cardamom 6pk,08/05/2021,Invoice,1325,CANN - Rise Carson City,"PR# 514
Metrc# 2061",120,9.00  ,"1,080.00  ","14,562.00  "
   CANN Blood Orange Cardamom 6pk,08/05/2021,Invoice,1324,CANN - Rise Spanish Springs,"PR# 514
Metrc# 2066",68,9.00  ,612.00  ,"15,174.00  "
   CANN Blood Orange Cardamom 6pk,08/05/2021,Invoice,1328,CANN - Jenny's NLV,"PR# 514
Metrc# 2082",40,9.00  ,360.00  ,"15,534.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/05/2021,Invoice,1324,CANN - Rise Spanish Springs,"PR# 310
Metrc# 2069",24,7.00  ,168.00  ,"3,920.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/05/2021,Invoice,1325,CANN - Rise Carson City,"PR# 310
Metrc# 2064",66,7.00  ,462.00  ,"4,382.00  "
   CANN Grapefruit Rosemary 6pk,08/05/2021,Invoice,1324,CANN - Rise Spanish Springs,"PR# 513
Metrc# 2067",60,9.00  ,540.00  ,"8,703.00  "
   CANN Grapefruit Rosemary 6pk,08/05/2021,Invoice,1325,CANN - Rise Carson City,"PR# 513
Metrc# 2062",48,9.00  ,432.00  ,"9,135.00  "
   CANN Grapefruit Rosemary 6pk,08/05/2021,Invoice,1328,CANN - Jenny's NLV,"PR# 513
Metrc# 2083",30,9.00  ,270.00  ,"9,405.00  "
   CANN Lemon Lavender 6pk,08/05/2021,Invoice,1325,CANN - Rise Carson City,"PR# 429
Metrc# 2063",52,9.00  ,468.00  ,"13,356.00  "
   CANN Lemon Lavender 6pk,08/05/2021,Invoice,1328,CANN - Jenny's NLV,"PR# 429
Metrc# 2084",40,9.00  ,360.00  ,"13,716.00  "
   CANN Lemon Lavender 6pk,08/05/2021,Invoice,1324,CANN - Rise Spanish Springs,"PR# 429
Metrc# 2068",64,9.00  ,576.00  ,"14,292.00  "
   CANN Pineapple Jalapeno 6pk,08/05/2021,Invoice,1328,CANN - Jenny's NLV,"PR# 609
Metrc# 2085",25,9.00  ,225.00  ,"2,844.00  "
   CANN Pineapple Jalapeno 6pk,08/05/2021,Invoice,1325,CANN - Rise Carson City,"PR# 609
Metrc# 2065",40,9.00  ,360.00  ,"3,204.00  "
   CANN Pineapple Jalapeno 6pk,08/05/2021,Invoice,1324,CANN - Rise Spanish Springs,"PR# 609
Metrc# 2070",32,9.00  ,288.00  ,"3,492.00  "
,08/05/2021,Invoice,1328,CANN - Jenny's NLV,,135,0.00  ,0.00  ,0.00  
,08/05/2021,Invoice,1324,CANN - Rise Spanish Springs,,248,0.00  ,0.00  ,0.00  
,08/05/2021,Invoice,1325,CANN - Rise Carson City,,326,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,08/09/2021,Invoice,1330,CANN - Reef,"PR# 514
Metrc# 2091",0,,0.00  ,"15,534.00  "
   CANN Blood Orange Cardamom 6pk,08/09/2021,Invoice,1329,CANN - The Apothecarium,"PR# 514
Metrc# 2077",15,9.00  ,135.00  ,"15,669.00  "
   CANN Grapefruit Rosemary 6pk,08/09/2021,Invoice,1330,CANN - Reef,"PR# 513
Metrc# 2092",0,,0.00  ,"9,405.00  "
   CANN Grapefruit Rosemary 6pk,08/09/2021,Invoice,1329,CANN - The Apothecarium,"PR# 513
Metrc# 2078",25,9.00  ,225.00  ,"9,630.00  "
   CANN Lemon Lavender 6pk,08/09/2021,Invoice,1329,CANN - The Apothecarium,"PR# 429
Metrc# 2079",30,9.00  ,270.00  ,"14,562.00  "
   CANN Lemon Lavender 6pk,08/09/2021,Invoice,1330,CANN - Reef,"PR# 429
Metrc# 2093",0,,0.00  ,"14,562.00  "
   CANN Pineapple Jalapeno 6pk,08/09/2021,Invoice,1330,CANN - Reef,"PR# 609
Metrc# 2094",0,,0.00  ,"3,492.00  "
   CANN Pineapple Jalapeno 6pk,08/09/2021,Invoice,1329,CANN - The Apothecarium,"PR# 609
Metrc# 2080",10,9.00  ,90.00  ,"3,582.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/09/2021,Invoice,1329,CANN - The Apothecarium,"PR# 610
Metrc# 2081",15,10.00  ,150.00  ,"1,010.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/09/2021,Invoice,1330,CANN - Reef,"PR# 610
Metrc# 2095",0,,0.00  ,"1,010.00  "
,08/09/2021,Invoice,1329,CANN - The Apothecarium,,95,0.00  ,0.00  ,0.00  
,08/09/2021,Invoice,1330,CANN - Reef,,0,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,08/10/2021,Invoice,1341,CANN - The Dispensary Reno,"PR# 514
Metrc# 2096",38,9.00  ,342.00  ,"16,011.00  "
   CANN Blood Orange Cardamom 6pk,08/10/2021,Invoice,1343,CANN - Mynt Downtown,"PR# 514
Metrc# 2107",16,9.00  ,144.00  ,"16,155.00  "
   CANN Blood Orange Cardamom 6pk,08/10/2021,Invoice,1342,CANN - Mynt Lemmon Valley,"PR# 514
Metrc# 2102",7,9.00  ,63.00  ,"16,218.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/10/2021,Invoice,1342,CANN - Mynt Lemmon Valley,"PR# 310
Metrc# 2104",14,7.00  ,98.00  ,"4,480.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/10/2021,Invoice,1341,CANN - The Dispensary Reno,"PR# 310
Metrc# 2099",21,7.00  ,147.00  ,"4,627.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/10/2021,Invoice,1343,CANN - Mynt Downtown,"PR# 310
Metrc# 2109",14,7.00  ,98.00  ,"4,725.00  "
   CANN Grapefruit Rosemary 6pk,08/10/2021,Invoice,1341,CANN - The Dispensary Reno,"PR# 513
Metrc# 2097",33,9.00  ,297.00  ,"9,927.00  "
   CANN Lemon Lavender 6pk,08/10/2021,Invoice,1341,CANN - The Dispensary Reno,"PR# 512A
Metrc# 2098",47,9.00  ,423.00  ,"14,985.00  "
   CANN Lemon Lavender 6pk,08/10/2021,Invoice,1343,CANN - Mynt Downtown,"PR# 512A
Metrc# 2108",5,9.00  ,45.00  ,"15,030.00  "
   CANN Lemon Lavender 6pk,08/10/2021,Invoice,1342,CANN - Mynt Lemmon Valley,"PR# 429
Metrc# 2103",27,9.00  ,243.00  ,"15,273.00  "
   CANN Pineapple Jalapeno 6pk,08/10/2021,Invoice,1341,CANN - The Dispensary Reno,"PR# 609
Metrc# 2100",19,9.00  ,171.00  ,"3,753.00  "
   CANN Pineapple Jalapeno 6pk,08/10/2021,Invoice,1342,CANN - Mynt Lemmon Valley,"PR# 609
Metrc# 2105",2,9.00  ,18.00  ,"3,771.00  "
   CANN Pineapple Jalapeno 6pk,08/10/2021,Invoice,1343,CANN - Mynt Downtown,"PR# 609
Metrc# 2110",15,9.00  ,135.00  ,"3,906.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/10/2021,Invoice,1342,CANN - Mynt Lemmon Valley,"PR# 610
Metrc# 2106",5,10.00  ,50.00  ,"1,060.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/10/2021,Invoice,1341,CANN - The Dispensary Reno,"PR# 610
Metrc# 2101",15,10.00  ,150.00  ,"1,210.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/10/2021,Invoice,1343,CANN - Mynt Downtown,"PR# 610
Metrc# 2111",16,10.00  ,160.00  ,"1,370.00  "
,08/10/2021,Invoice,1341,CANN - The Dispensary Reno,,173,0.00  ,0.00  ,0.00  
,08/10/2021,Invoice,1343,CANN - Mynt Downtown,,66,0.00  ,0.00  ,0.00  
,08/10/2021,Invoice,1342,CANN - Mynt Lemmon Valley,,55,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,08/11/2021,Invoice,1347,CANN - The Dispensary Express,"PR# 514
Metrc# 2112",9,9.00  ,81.00  ,"16,299.00  "
   CANN Blood Orange Cardamom 6pk,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,"PR# 514
Metrc# 2262",2,9.00  ,18.00  ,"16,317.00  "
   CANN Blood Orange Cardamom 6pk,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,"PR# 430 
Metrc# 2267",50,9.00  ,450.00  ,"16,767.00  "
   CANN Blood Orange Cardamom 6pk,08/11/2021,Invoice,1349,CANN - The Dispensary Decatur,"PR# 514
Metrc# 2116",11,9.00  ,99.00  ,"16,866.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/11/2021,Invoice,1349,CANN - The Dispensary Decatur,"PR# 310
Metrc# 2118",13,7.00  ,91.00  ,"4,816.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,"PR# 310
Metrc# 2265",24,7.00  ,168.00  ,"4,984.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/11/2021,Invoice,1347,CANN - The Dispensary Express,"PR# 310
Metrc# 2113",10,7.00  ,70.00  ,"5,054.00  "
   CANN Grapefruit Rosemary 6pk,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,"PR# 513
Metrc# 2263",20,9.00  ,180.00  ,"10,107.00  "
   CANN Lemon Lavender 6pk,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,"PR# 728
Metrc# 2268",6,9.00  ,54.00  ,"15,327.00  "
   CANN Lemon Lavender 6pk,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,"PR# 512A
Metrc# 2264",47,9.00  ,423.00  ,"15,750.00  "
   CANN Lemon Lavender 6pk,08/11/2021,Invoice,1349,CANN - The Dispensary Decatur,"PR# 512A
Metrc# 2117",11,9.00  ,99.00  ,"15,849.00  "
   CANN Pineapple Jalapeno 6pk,08/11/2021,Invoice,1349,CANN - The Dispensary Decatur,"PR# 609
Metrc# 2119",4,9.00  ,36.00  ,"3,942.00  "
   CANN Pineapple Jalapeno 6pk,08/11/2021,Invoice,1347,CANN - The Dispensary Express,"PR# 609
Metrc# 2114",6,9.00  ,54.00  ,"3,996.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/11/2021,Invoice,1349,CANN - The Dispensary Decatur,"PR# 610
Metrc# 2120",5,10.00  ,50.00  ,"1,420.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/11/2021,Invoice,1347,CANN - The Dispensary Express,"PR# 610
Metrc# 2115",3,10.00  ,30.00  ,"1,450.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,"PR# 610
Metrc# 2266",25,10.00  ,250.00  ,"1,700.00  "
,08/11/2021,Invoice,1349,CANN - The Dispensary Decatur,,44,0.00  ,0.00  ,0.00  
,08/11/2021,Invoice,1348,CANN - The Dispensary Gibson,,174,0.00  ,0.00  ,0.00  
,08/11/2021,Invoice,1347,CANN - The Dispensary Express,,28,0.00  ,0.00  ,0.00  
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,08/23/2021,Invoice,1357,CANN - The Source Sahara,"PR# 318A
Metrc# 2091",20,7.00  ,140.00  ,"5,099.00  "
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,08/23/2021,Invoice,1355,CANN - The Source Henderson,"PR# 318A
Metrc# 2275",20,7.00  ,140.00  ,"5,239.00  "
   CANN Grapefruit Rosemary 6pk,08/23/2021,Invoice,1357,CANN - The Source Sahara,"PR# 513
Metrc# 2272",20,9.00  ,180.00  ,"10,287.00  "
   CANN Grapefruit Rosemary 6pk,08/23/2021,Invoice,1355,CANN - The Source Henderson,"PR# 513
Metrc# 2092",20,9.00  ,180.00  ,"10,467.00  "
   CANN Lemon Lavender 6pk,08/23/2021,Invoice,1357,CANN - The Source Sahara,"PR# 728
Metrc# 2270",20,9.00  ,180.00  ,"16,029.00  "
   CANN Lemon Lavender 6pk,08/23/2021,Invoice,1355,CANN - The Source Henderson,"PR# 728
Metrc# 2273",20,9.00  ,180.00  ,"16,209.00  "
   CANN Blood Orange Cardamom 6pk,08/30/2021,Invoice,1375,CANN - Essence Rainbow,"PR# 430
Metrc# 2938",48,9.00  ,432.00  ,"17,298.00  "
   CANN Blood Orange Cardamom 6pk,08/30/2021,Invoice,1374,CANN - Essence Durango,"PR# 430
Metrc# 2934",40,9.00  ,360.00  ,"17,658.00  "
   CANN Blood Orange Cardamom 6pk,08/30/2021,Invoice,1372,CANN - Essence Henderson,"PR# 430
Metrc# 2928",50,9.00  ,450.00  ,"18,108.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/30/2021,Invoice,1373,CANN - Essence Tropicana,"PR# 310
Metrc# 2933",25,7.00  ,175.00  ,"5,229.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/30/2021,Invoice,1372,CANN - Essence Henderson,"PR# 310
Metrc# 2930",18,7.00  ,126.00  ,"5,355.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/30/2021,Invoice,1374,CANN - Essence Durango,"PR# 310
Metrc# 2937",40,7.00  ,280.00  ,"5,635.00  "
   CANN Grapefruit Rosemary 6pk,08/30/2021,Invoice,1374,CANN - Essence Durango,"PR# 513
Metrc# 2935",12,9.00  ,108.00  ,"10,575.00  "
   CANN Grapefruit Rosemary 6pk,08/30/2021,Invoice,1375,CANN - Essence Rainbow,"PR# 409
Metrc# 2940",7,9.00  ,63.00  ,"10,638.00  "
   CANN Grapefruit Rosemary 6pk,08/30/2021,Invoice,1375,CANN - Essence Rainbow,"PR# 513
Metrc# 2939",13,9.00  ,117.00  ,"10,755.00  "
   CANN Grapefruit Rosemary 6pk,08/30/2021,Invoice,1373,CANN - Essence Tropicana,"PR# 513
Metrc# 2931",30,9.00  ,270.00  ,"11,025.00  "
   CANN Lemon Lavender 6pk,08/30/2021,Invoice,1374,CANN - Essence Durango,"PR# 728
Metrc# 2936",50,9.00  ,450.00  ,"16,659.00  "
   CANN Lemon Lavender 6pk,08/30/2021,Invoice,1375,CANN - Essence Rainbow,"PR# 728
Metrc# 2941",60,9.00  ,540.00  ,"17,199.00  "
   CANN Lemon Lavender 6pk,08/30/2021,Invoice,1373,CANN - Essence Tropicana,"PR# 728
Metrc# 2932",8,9.00  ,72.00  ,"17,271.00  "
   CANN Lemon Lavender 6pk,08/30/2021,Invoice,1372,CANN - Essence Henderson,"PR# 728
Metrc# 2929",80,9.00  ,720.00  ,"17,991.00  "
,08/30/2021,Invoice,1373,CANN - Essence Tropicana,,200,0.00  ,0.00  ,0.00  
,08/30/2021,Invoice,1374,CANN - Essence Durango,,200,0.00  ,0.00  ,0.00  
,08/30/2021,Invoice,1372,CANN - Essence Henderson,,120,0.00  ,0.00  ,0.00  
,08/30/2021,Invoice,1375,CANN - Essence Rainbow,,200,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 430
Metrc# 2970",43,9.00  ,387.00  ,"18,495.00  "
   CANN Blood Orange Cardamom 6pk,08/31/2021,Invoice,1366,CANN - The Apothecarium,"PR# 430
Metrc#2280",40,9.00  ,360.00  ,"18,855.00  "
   CANN Blood Orange Cardamom 6pk PROMO,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 430
Metrc# 2973",30,6.30  ,189.00  ,977.44  
   CANN Grapefruit Rosemary 6pk,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 409
Metrc# 2971",49,9.00  ,441.00  ,"11,466.00  "
   CANN Grapefruit Rosemary 6pk,08/31/2021,Invoice,1366,CANN - The Apothecarium,"PR# 513
Metrc#2281",10,9.00  ,90.00  ,"11,556.00  "
   CANN Grapefruit Rosemary 6pk PROMO,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 409
Metrc# 2974",30,6.30  ,189.00  ,977.15  
   CANN Lemon Lavender 6pk,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 728
Metrc# 2972",48,9.00  ,432.00  ,"18,423.00  "
   CANN Lemon Lavender 6pk,08/31/2021,Invoice,1366,CANN - The Apothecarium,"PR# 728
Metrc#2282",50,9.00  ,450.00  ,"18,873.00  "
   CANN Lemon Lavender 6pk PROMO,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 728
Metrc# 2975",30,6.30  ,189.00  ,977.10  
   CANN Pineapple Jalapeno 6pk,08/31/2021,Invoice,1366,CANN - The Apothecarium,"PR# 609
Metrc#2283",10,9.00  ,90.00  ,"4,086.00  "
   CANN Pineapple Jalapeno 6pk,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 609
Metrc# 2976",5,9.00  ,45.00  ,"4,131.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/31/2021,Invoice,1366,CANN - The Apothecarium,"PR# 610
Metrc#2284",15,7.00  ,105.00  ,"1,805.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,"PR# 610
Metrc# 2977",41,10.00  ,410.00  ,"2,215.00  "
,08/31/2021,Invoice,1378,CANN - The Dispensary Gibson,,250,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,09/06/2021,Invoice,1384,CANN - Mynt Lemmon Valley,"PR# 430
Metrc# 2324",16,9.00  ,144.00  ,"18,999.00  "
   CANN Blood Orange Cardamom 6pk,09/06/2021,Invoice,1379,CANN - The Dispensary Decatur,"PR# 430
Metrc# 2978",16,9.00  ,144.00  ,"19,143.00  "
   CANN Blood Orange Cardamom 6pk,09/06/2021,Invoice,1382,CANN - The Dispensary Reno,"PR# 430
Metrc# 2332",76,9.00  ,684.00  ,"19,827.00  "
   CANN Blood Orange Cardamom 6pk,09/06/2021,Invoice,1383,CANN - Mynt Downtown,"PR# 430
Metrc# 2316",50,9.00  ,450.00  ,"20,277.00  "
   CANN Grapefruit Rosemary 6pk,09/06/2021,Invoice,1383,CANN - Mynt Downtown,"PR# 409
Metrc# 2317",27,9.00  ,243.00  ,"11,799.00  "
   CANN Grapefruit Rosemary 6pk,09/06/2021,Invoice,1382,CANN - The Dispensary Reno,"PR# 409
Metrc# 2286",54,9.00  ,486.00  ,"12,285.00  "
   CANN Lemon Lavender 6pk,09/06/2021,Invoice,1384,CANN - Mynt Lemmon Valley,"PR# 728
Metrc# 2325",19,9.00  ,171.00  ,"19,044.00  "
   CANN Lemon Lavender 6pk,09/06/2021,Invoice,1383,CANN - Mynt Downtown,"PR# 728
Metrc# 2318",42,9.00  ,378.00  ,"19,422.00  "
   CANN Lemon Lavender 6pk,09/06/2021,Invoice,1382,CANN - The Dispensary Reno,"PR# 728
Metrc# 2287",86,9.00  ,774.00  ,"20,196.00  "
   CANN Lemon Lavender 6pk,09/06/2021,Invoice,1379,CANN - The Dispensary Decatur,"PR# 728
Metrc# 2979",28,9.00  ,252.00  ,"20,448.00  "
   CANN Pineapple Jalapeno 6pk,09/06/2021,Invoice,1379,CANN - The Dispensary Decatur,"PR# 609
Metrc# 2983",4,9.00  ,36.00  ,"4,167.00  "
   CANN Pineapple Jalapeno 6pk,09/06/2021,Invoice,1382,CANN - The Dispensary Reno,"PR# 609
Metrc# 2291",30,9.00  ,270.00  ,"4,437.00  "
   CANN Pineapple Jalapeno 6pk,09/06/2021,Invoice,1383,CANN - Mynt Downtown,"PR# 609
Metrc# 2322",28,9.00  ,252.00  ,"4,689.00  "
   CANN Pineapple Jalapeno 6pk,09/06/2021,Invoice,1384,CANN - Mynt Lemmon Valley,"PR# 609
Metrc# 2329",11,9.00  ,99.00  ,"4,788.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,09/06/2021,Invoice,1384,CANN - Mynt Lemmon Valley,"PR# 610
Metrc# 2330",32,10.00  ,320.00  ,"2,535.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,09/06/2021,Invoice,1383,CANN - Mynt Downtown,"PR# 610
Metrc# 2323",32,10.00  ,320.00  ,"2,855.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,09/06/2021,Invoice,1379,CANN - The Dispensary Decatur,"PR# 610
Metrc# 2984",22,10.00  ,220.00  ,"3,075.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,09/06/2021,Invoice,1382,CANN - The Dispensary Reno,"PR# 610
Metrc# 2292",70,10.00  ,700.00  ,"3,775.00  "
,09/06/2021,Invoice,1384,CANN - Mynt Lemmon Valley,,250,0.00  ,0.00  ,0.00  
,09/06/2021,Invoice,1383,CANN - Mynt Downtown,,250,0.00  ,0.00  ,0.00  
,09/06/2021,Invoice,1382,CANN - The Dispensary Reno,,250,0.00  ,0.00  ,0.00  
,09/06/2021,Invoice,1379,CANN - The Dispensary Decatur,,250,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,09/08/2021,Invoice,1392,CANN - Jardin,"PR# 430
Metrc# 2296",40,9.00  ,360.00  ,"20,637.00  "
   CANN Lemon Lavender 6pk,09/08/2021,Invoice,1392,CANN - Jardin,"PR# 728
Metrc# 2295",40,9.00  ,360.00  ,"20,808.00  "
,09/08/2021,Invoice,1392,CANN - Jardin,,80,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,09/13/2021,Invoice,1380,CANN - The Dispensary Express,"PR# 430
Metrc# 2985",7,9.00  ,63.00  ,"20,700.00  "
   CANN Grapefruit Rosemary 6pk,09/13/2021,Invoice,1380,CANN - The Dispensary Express,"PR# 409
Metrc# 2986",14,9.00  ,126.00  ,"12,411.00  "
   CANN Lemon Lavender 6pk,09/13/2021,Invoice,1380,CANN - The Dispensary Express,"PR# 728
Metrc# 2987",7,9.00  ,63.00  ,"20,871.00  "
   CANN Pineapple Jalapeno 6pk,09/13/2021,Invoice,1380,CANN - The Dispensary Express,"PR# 609
Metrc# 2991",14,9.00  ,126.00  ,"4,914.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,09/13/2021,Invoice,1380,CANN - The Dispensary Express,"PR# 610
Metrc# 2992",25,10.00  ,250.00  ,"4,025.00  "
,09/13/2021,Invoice,1380,CANN - The Dispensary Express,,250,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,09/14/2021,Invoice,1397,CANN - Essence Durango,"PR# 430 
Metrc#2311",20,9.00  ,180.00  ,"20,880.00  "
   CANN Blood Orange Cardamom 6pk,09/14/2021,Invoice,1400,CANN - Essence Tropicana,"PR# 430 
Metrc#2309",28,9.00  ,252.00  ,"21,132.00  "
   CANN Blood Orange Cardamom 6pk,09/14/2021,Invoice,1396,CANN - Essence Rainbow,"PR# 430 
Metrc#2303",24,9.00  ,216.00  ,"21,348.00  "
   CANN Blood Orange Cardamom 6pk,09/14/2021,Invoice,1398,CANN - Essence Henderson,"PR# 430 
Metrc#2294",36,9.00  ,324.00  ,"21,672.00  "
   CANN Ginger Lemongrass Seasonal 4pk,09/14/2021,Invoice,1400,CANN - Essence Tropicana,"PR# 310
Metrc#2307",24,7.00  ,168.00  ,"5,803.00  "
   CANN Ginger Lemongrass Seasonal 4pk,09/14/2021,Invoice,1398,CANN - Essence Henderson,"PR# 310
Metrc#2297",36,7.00  ,252.00  ,"6,055.00  "
   CANN Grapefruit Rosemary 6pk,09/14/2021,Invoice,1397,CANN - Essence Durango,"PR# 409
Metrc#2312",40,9.00  ,360.00  ,"12,771.00  "
   CANN Grapefruit Rosemary 6pk,09/14/2021,Invoice,1396,CANN - Essence Rainbow,"PR# 409
Metrc#2304",16,9.00  ,144.00  ,"12,915.00  "
   CANN Lemon Lavender 6pk,09/14/2021,Invoice,1400,CANN - Essence Tropicana,"PR# 728
Metrc#2315",12,9.00  ,108.00  ,"20,979.00  "
